Field Name;Data Type;Format;Description;Example;Nullable
Employee ID;Integer;4 digits;Unique identifier for each employee in the organization;1234;No
First Name;Text;;The first name of the employee;John;No
Last Name;Text;;The last name of the employee;Smith;No
Start Date;Date;xx-MON-xx;The date when the employee started working for the organization;15-JAN-23;No
Exit Date;Date;xx-MON-xx;The date when the employee left or exited the organization (if applicable);31-DEC-24;Yes
Title;Text;;The job title or position of the employee within the organization;Software Engineer;No
Supervisor;Text;;The name of the employee's immediate supervisor or manager;Jane Doe;Yes
Email;Text;xx@bilearner.com;The email address associated with the employee's communication within the organization;john.smith@bilearner.com;No
Business Unit;Text;;The specific business unit or department to which the employee belongs;Technology;No
Employee Status;Text;;The current employment status of the employee;Active;No
Employee Type;Text;;The type of employment the employee has;Full-time;No
Pay Zone;Text;;The pay zone or salary band to which the employee's compensation falls;Zone A;No
Employee Classification Type;Text;;The classification type of the employee;Exempt;No
Termination Type;Text;;The type of termination if the employee has left the organization;Resignation;Yes
Termination Description;Text;;Additional details or reasons for the employee's termination (if applicable);Career advancement opportunity;Yes
Department Type;Text;;The broader category or type of department the employee's work is associated with;Engineering;No
Division Description;Text;;The division or branch of the organization where the employee works;Software Development Division;No
DOB;Date;;The date of birth of the employee;11.Aðu.94;No
State;Text;;The abbreation of a US state where the employee is located;KY;No
Job Function;Text;;A brief description of the employee's primary job function or role;Software Development;No
Gender;Text;;A code representing the gender of the employee;Male;Yes
Location;Text;;A code representing the physical location or office where the employee is based;SF001;No
Race (or) Ethnicity;Text;;A description of the employee's racial or ethnic background (if provided);Asian;Yes
Marital Status;Text;;The marital status of the employee;Married;Yes
Performance Score;Text;;A score indicating the employee's performance level;Fully Meets;Yes
Current Employee Rating;Text;;The current rating or evaluation of the employee's overall performance;3;Yes
