Field Name;Data Type;Format;Description;Example;Nullable
EMPID;NUMBER;4 digits;Unique identifier for each employee in the organization;1234;No
FIRSTNAME;VARCHAR2;;The first name of the employee;John;No
LASTNAME;VARCHAR2;;The last name of the employee;Smith;No
STARTDATE;TIMESTAMP;xx-MON-xx;The date when the employee started working for the organization;15-JAN-23;No
EXITDATE;TIMESTAMP;xx-MON-xx;The date when the employee left or exited the organization (if applicable);31-DEC-24;Yes
TITLE;VARCHAR2;;The job title or position of the employee within the organization;Software Engineer;No
SUPERVISOR;VARCHAR2;;The name of the employee's immediate supervisor or manager;Jane Doe;Yes
ADEMAIL;VARCHAR2;xx@bilearner.com;The email address associated with the employee's communication within the organization;john.smith@bilearner.com;No
BUSINESSUNIT;VARCHAR2;;The specific business unit or department to which the employee belongs;Technology;No
EMPLOYEESTATUS;VARCHAR2;;The current employment status of the employee;Active;No
EMPLOYEETYPE;VARCHAR2;;The type of employment the employee has;Full-time;No
PAYZONE;VARCHAR2;;The pay zone or salary band to which the employee's compensation falls;Zone A;No
EMPLOYEECLASSIFICATIONTYPE;VARCHAR2;;The classification type of the employee;Exempt;No
TERMINATIONTYPE;VARCHAR2;;The type of termination if the employee has left the organization;Resignation;Yes
TERMINATIONDESCRIPTION;VARCHAR2;;Additional details or reasons for the employee's termination (if applicable);Career advancement opportunity;Yes
DEPARTMENTTYPE;VARCHAR2;;The broader category or type of department the employee's work is associated with;Engineering;No
DIVISION;VARCHAR2;;The division or branch of the organization where the employee works;Software Development Division;No
DOB;VARCHAR2;;The date of birth of the employee;11-Aug-94;No
STATE;VARCHAR2;;The abbreviation of a US state where the employee is located;KY;No
JOBFUNCTIONDESCRIPTION;VARCHAR2;;A brief description of the employee's primary job function or role;Software Development;No
GENDERCODE;VARCHAR2;;A code representing the gender of the employee;Male;Yes
LOCATIONCODE;NUMBER;;A code representing the physical location or office where the employee is based;SF001;No
RACEDESC;VARCHAR2;;A description of the employee's racial or ethnic background (if provided);Asian;Yes
MARITALDESC;VARCHAR2;;The marital status of the employee;Married;Yes
PERFORMANCE_SCORE;VARCHAR2;;A score indicating the employee's performance level;Fully Meets;Yes
CURRENT_EMPLOYEE_RATING;NUMBER;;The current rating or evaluation of the employee's overall performance;3;Yes
