Field Name;Data Type;Format;Description;Example;Nullable
Applicant ID;Integer;;A unique identifier assigned to each applicant who has submitted their information for a job opportunity;1001;No
Application Date;Date;dd-MMM-yy;The date on which the applicant submitted their application for the job;03-Jun-23;No
First Name;Text;;The first name of the applicant;Scott;No
Last Name;Text;;The last name of the applicant;Sheppard;No
Gender;Text;;The gender of the applicant;Male;Yes
Date of Birth;Date;dd-mm-yyyy;The birthdate of the applicant;31.08.1992;No
Phone Number;Text;Various formats;The contact phone number of the applicant;421-429-7655x394;No
Email;Text;Standard email format;The email address of the applicant for communication purposes;scott.sheppard@email.com;No
Address;Text;;The street address where the applicant resides;123 Main Street;No
City;Text;;The city where the applicant's address is located;New York;No
State;Text;;The state or province where the applicant's address is situated;NY;No
Zip Code;Text;;The postal or ZIP code associated with the applicant's address;10001;No
Country;Text;;The country where the applicant's address is located;USA;No
Education Level;Text;;The highest level of education attained by the applicant;Bachelor's Degree;No
Years of Experience;Integer;;The number of years of professional experience the applicant has;5;No
Desired Salary;Float;Dollar based;The salary the applicant wishes to receive for the job;75000.00;Yes
Job Title;Text;;The title or designation of the job the applicant is applying for;Software Engineer;No
Status;Text;;The status of the applicant's application;Under Review;No
