Field Name;Data Type;Format;Description;Example;Nullable
APPLICANT_ID;NUMBER;;A unique identifier assigned to each applicant who has submitted their information for a job opportunity;1001;No
APPLICATION_DATE;TIMESTAMP;dd-MMM-yy;The date on which the applicant submitted their application for the job;03-Jun-23;No
FIRST_NAME;VARCHAR2;;The first name of the applicant;Scott;No
LAST_NAME;VARCHAR2;;The last name of the applicant;Sheppard;No
GENDER;VARCHAR2;;The gender of the applicant;Male;Yes
DATE_OF_BIRTH;VARCHAR2;dd-mm-yyyy;The birthdate of the applicant;31.08.1992;No
PHONE_NUMBER;VARCHAR2;Various formats;The contact phone number of the applicant;421-429-7655x394;No
EMAIL;VARCHAR2;Standard email format;The email address of the applicant for communication purposes;scott.sheppard@email.com;No
ADDRESS;VARCHAR2;;The street address where the applicant resides;123 Main Street;No
CITY;VARCHAR2;;The city where the applicant's address is located;New York;No
STATE;VARCHAR2;;The state or province where the applicant's address is situated;NY;No
ZIP_CODE;NUMBER;;The postal or ZIP code associated with the applicant's address;10001;No
COUNTRY;VARCHAR2;;The country where the applicant's address is located;USA;No
EDUCATION_LEVEL;VARCHAR2;;The highest level of education attained by the applicant;Bachelor's Degree;No
YEARS_OF_EXPERIENCE;NUMBER;;The number of years of professional experience the applicant has;5;No
DESIRED_SALARY;NUMBER;Dollar based;The salary the applicant wishes to receive for the job;75000.00;Yes
JOB_TITLE;VARCHAR2;;The title or designation of the job the applicant is applying for;Software Engineer;No
STATUS;VARCHAR2;;The status of the applicant's application;Under Review;No
